,year,text,sender,sentiment,emotion
11,1928,trieste li marzo caro amico qui ho trovato le due lettere per gli editori non si può essere più generosi di cosi io vivo dei suoni che m accompagnano da parigi uno sovrasta agli altri anna livia e il ritratto del veruda vorrebbe lei averlo dica in una cartolina postale la sola parola si ed io glielo invio senza il suo consenso non oso inviarle il ritratto di mia moglie di lavori di veruda io ne ho molti e in quanto al soggetto io mi tengo caro l originale alla sua signora i nostri ringraziamenti quando viene lucia le stringo affettuosamente la mano suo devotissimo ettore schmitz,Ettore Schmitz,positive,joy
12,1928,square robiac rue de grenelle parigi caro schmitz di ritorno qui trovo la sua gentile lettera ben volentieri accetto il suo regalo e che l immagine di anna livia mi porti e ricordi ed auguri spero che avrà buon successo con cape e coi vikings il primo però non comprendente inglese è più temibile buona pasqua alla signora ed a lei da noi tutti james joyce iv,James Joyce,positive,joy
13,1925,rue du cardinal lemoine v gennaio egregio signore e maestro dacché ho ricevuto e letto la coscienza di zeno ho fatto tutto quello che ho potuto per fare conoscere in francia questo libro ammirevole propaganda solamente orale ma efficace come lei vedrà nell estate scorsa si fondò la rivista commerce trimestrale diretta dal più grande dei nostri poeti paul valéry da leon paul fargue conosciuto dalla élite come uno dei migliori scrittori di vanguardia e da me e subito questa rivista si pose al primo rango delle riviste francesi di letteratura pura l idea di questa pubblicazione venne dalla principessa di bassiano moglie del principe roffredo caetani di roma la quale ci fornisce i fondi e ci dà anche consigli efficaci prima della fondazione della rivista avevo fatto leggere alla principessa la coscienza di zeno e adesso che siamo in preparazione dei numeri iv e v lei desidera che pubblichiamo alcuni brani da a pagine del suo libro la questione della traduzione non ha difficoltà fra i nostri migliori scrittori di vanguardia contiamo tre o quattro ottimi traduttori d italiano disposti a tradurre le pagine che sceglieremo l unica cosa che ci manca dunque è l autorizzazione di lei e dell editore cappelli per parte mia vorrei dare in commerce un breve studio sopra la di lei opera studio che darei più tardi e più completo nella nouvelle revue frangaise o nella revue européenne ma non conosco i suoi altri libri una vita senilità che ho cercati l estate scorsa in bologna e in firenze senza incontrarli e le sarei gratissimo se lei avesse la bontà d inviarmeli il nostro amico james joyce come lei avrà saputo ha dovuto subire un altra operazione agli occhi e adesso sta bene e lavora la prego scusare tante domande e credermi egregio signore e maestro il suo devoto ammiratore valéry larbaud,Valéry Larbaud,positive,joy
14,1925,trieste villa veneziani gennaio esimio signore grazie per la cara sua la mia gratitudine va anche a james joyce che a lei m indirizzò e a quella gentilissima gentildonna nostra che volle interessarsi dell opera mia il romanzo non fu da me ceduto all editore perciò basta la mia autorizzazione ed io la dò intera inviando un romanzo in francia a me pare d inviare vasi a samo che però dovrebb essere anche il luogo ove i vasi s intendono io mando intanto quella parte ch ella desidera dolente sia di sole pagine le scelga lei e sia tanto buono di scegliere anche il traduttore se m è concesso vorrei vedere le prove di stampa conosco il francese ma non quanto lei l italiano non avendolo mai indirizzato a una persona come lei la timidezza mi fermerebbe la penna io scrissi due altri romanzi fra i e anni fa non si trovano più in commercio posseggo tuttavia alcune copie di una vita pubblicata quando conoscevo tutto maupassant meno une vie di cui non sapevo l esistenza una bell avventura e una sola di senilità ambedue le edizioni sono esaurite ma nessuno sente il bisogno di una ristampa ed io specie per quel che riguarda una vita meno degli altri senilità piacque molti anni or sono al joyce ed è curioso che mentre una vita trovò in italia qualche critico benevolo e un ammiratore in germania paul heyse senilità non piacque che al joyce mai nessun altro se ne occupò io spero di trovare una copia di senilità da qualche amico e le invierò la copia dei due romanzi non so io stesso il giudizio che si può fare di queste opere che non erano neppure esse tanto giovanili certo io non sento che la coscienza di zeno forse perché le altre non piacquero mai abbastanza a nessuno e vi rinunziai e le rinnegai bisogna pure sapersi adattare se si vuol vivere ritardo volentieri l invio dei due volumi che non arrivino a danneggiare il terzo sono qui interamente a sua disposizione per tutto quanto mi riguarda e per qualunque altra cosa se in questo cantuccio di terra ci fosse qualche cosa che potrebbe interessarla dico parole prive di senso intese a significare la mia grande gratitudine suo devotissimo ettore schmitz,Ettore Schmitz,positive,joy
15,1925,villa veneziani trieste esimio signore alla tanto cara sua dell gennaio io risposi subito ma fui tanto sbadato da non raccomandare la mia lettera eccomi nel dubbio che tale mia lettera tanto importante per me possa essere andata smarrita con quella lettera ringraziavo lei e la principessa di bassiano dell onore che volevano farmi di pubblicare una quindicina di pagine del mio romanzo nella sua rivista commerce e la informavo anche che il romanzo era interamente a sua disposizione raccomando la presente per poter esonerarla dal rispondermi commisi la leggerezza d inviarle questa volta raccomandando i miei altri due romanzi questi purtroppo le saranno giunti io vivo ancora della sua lettera non la feci vedere a nessuno cosi conserva meglio il suo valore suo devotissimo ettore schmitz,Ettore Schmitz,negative,sadness
16,1925,rue du cardinal lemoine v febbraio egregio signore e maestro scrivo sotto la dettatura del signor valerio larbaud ricevo la sua lettera del mi scusi se non ho risposto subito alla sua prima sono stato occupatissimo la ringrazio per i due libri per quel che le avevo scritto stiamo organizzando la campagna in suo favore forse cominceremo con un articolo di uno di noi sopra un giornale italiano questa estate poi per il quinto numero di commerce che uscirà nel mese di ottobre prossimo prepareremo una selezione di pagine tradotte al francese di senilità prenderemo le pagine che ho lette a parecchi amici e che furono ricevute con applausi e qualcheduno pronunciò il nome di marcel proust della coscienza di zeno prenderemo le pagine e di una vita che un amico mio sta leggendo adesso non so ancora se daremo un campione forse faremo dei cambi in questa scelta e forse anche daremo titoli ma fra parentesi alle pagine scelte il titolo senilità ci sembra poco adatto al romanzo e se si dovesse tradurre al francese intero credo che sarebbe meglio prendere come titolo emilio brentani siamo impazienti di cominciare la campagna ma abbiamo tanto da fare ognuno che le cose non possono andare con la rapidità che vorremmo pure già c è un rumore del nome di lei fra i migliori scrittori giovani di qui il resto verrà a poco a poco mi creda egregio signore e maestro suo devotissimo ammiratore valéry larbaud,Valéry Larbaud,negative,sadness
17,1925,church lane charlton s e giugno egregio signore e maestro avete tutte le comodità voi altri francesi quale altra parola posso indirizzare a lei se non quella di maestro rubandola alla vostra lingua la presente ha lo scopo precipuo di ringraziarla per le tante gentilezze ch ella mi usò tardai tanto a scriverle perché mi pareva di aver sentito che lei stava per partire per il portogallo mentre ora apprendo da mia moglie che dice di averlo sentito chiaramente da lei che lei per qualche mese ancora resta in francia vuole dire che al suo antico domicilio sapranno il suo indirizzo io ripasserò per parigi nei primi giorni di luglio il credo e vi vedrò certamente james joyce potrei sapere quale è la parola che lei non intende nelle pagine che ha da tradurre di senilità potrebbe farmela sapere col mezzo del nostro comune amico o altrimenti quando verrà a trieste sarei beato di farle conoscere la mia patria perché in altra occasione ella le accordi la stessa giustizia che da lei trovarono tanti altri paesi mi creda egregio signore il suo devotissimo ettore schmitz,Ettore Schmitz,negative,joy
18,1925,londra giugno esimio signor larbaud ebbi la carissima sua del io amo ch ella mi scriva in francese solo perché cosi il suo mi pare un autografo più autentico io so anche i dubbii dolorosi da cui si viene colti scrivendo in lingua straniera l ultima lettera che le indirizzai era in francese stavo allora leggendo dei libri francesi e con mio grande dolore m accorsi che le avevo inviato alcuni accenti di troppo corsi alla posta per riprenderli ma la lettera era già partita oh la balenai quando ella mi disse che una certa parola le dava difficoltà pensai subito a quel cetaceo formidabile è proprio lui e purtroppo inerme che si può invocare quando si è stupiti dalla vista di cosa molto grossa non essendo sicuro di poterle far pervenire direttamente una lettera scrissi al signor crémieux pregandolo di trascriverle lui le mie spiegazioni oppure di attendere il suo ritorno a parigi per comunicargliele il grave è che ho potuto accorgermi che la parola non è usata attualmente neppure a venezia ma io la ebbi da bocca veneziana poco prima di scrivere senilità fui a venezia per alcuni giorni che passai in compagnia di pittori veneziani la balena nuotava di bocca in bocca ma ora credo che l unico italiano che la usi sono io stesso ciò è una disgrazia che però può avvenire quando si rilegge un libro scritto anni prima e si ha da fare con una parola veneziana il veneziano è parlato solo da persone gli altri veneti non parlano il veneziano ed è un linguaggio vivo e fresco non costretto da accademie o vocabolarii la lingua va e viene nel breve territorio abitato da un popolo sentimentale lieto e mordace che ha perciò bisogno di molte parole ed io scommetto che i veneziani pretenderanno che la balena non è mai passata per la laguna invelenao un triestino che è pure un veneto non userebbe questa forma per avvelenato e neppure la userebbe nel senso di irritato o arrabbiato come la usano tutti a venezia non ho alcun idea come si possa tradurre queste due parole e m abbandono fiducioso a lei io partirò da qui fra una settimana e mi fermerò a parigi per due o tre giorni poi vado a gleichenberg austria per una cura di settimane di cui ho urgente bisogno nella seconda metà del mese di agosto sarò a trieste sarei felice se lei decidesse di venirci a trovare io mi faccio già un programma delle cose che le farei vedere e che sono sicuro le piacerebbero perché è certo che io a quest ora la conosco meglio di quanto lei creda mia moglie ringrazia per i suoi cortesi saluti e mi prega di esserle ricordata io non so come esprimerle la mia riconoscenza per quanto ella sta facendo per me e per le mie povere cose la vedo nella solitudine col vecchio libro cui ella regala vita e luce sacrificando il suo tempo che potrebbe essere tanto prezioso per l opera sua grazie suo devotissimo,Ettore Schmitz,negative,sadness
19,1925,villa veneziani trieste settembre esimio e caro signor larbaud da tanto tempo sono privo di notizie da parigi che ora scrivendo a lei mi si rinnova intero il ricordo delle due giornate indimenticabili che vi passai io fui per brevi ore un altra volta a parigi ed il signor crémieux m accolse con grande gentilezza poi venne l aspro io ero quasi sicuro che a versailles stesse una principessa che m aveva regalato un sorriso c era ma avevo avuto il torto d inviarle i miei libri e non volle più ricevermi e le voci dal luglio in poi si fecero sempre più aspre perché al crémieux scrissi due volte e non rispose ma io il ricordo non voglio perderlo ed ecco che cerco lei devo ammettere di aver esperito che anche l insuccesso ha i suoi vantaggi io vivo qui restituito interamente alla mia pittura sottomarina e alla mia modestia il successo io lo ebbi per qualche ora e lei lo sa rende subito petulanti e invadenti coloro che non vi sono usi dalla gioventù un bambino di anni non sopporta senza danno una cosa simile venga dunque a vedermi come sono ora vorrei cancellare il ricordo mio di quei giorni non ero io ricordo fra l altro di averle detto che avrei saputo farle vedere delle cose di cui io che male ai denti dal rimorso sapevo che facevano per lei è però vero che io qui le farei vedere delle cose straordinarie grotte meravigliose poi la terra carsica brulla e la sua frontiera netta con la campagna ubertosa nel punto dove l acqua sparisce e infine delle cittadine antiche dell istria nella mia frase la mia presunzione poteva scusarsi comeastuzia può parere un modo abile per adescarla credo però di raggiungere meglio il mio scopo parlando con semplicità quando viene me lo faccia sapere perché per il tempo del suo soggiornovorrei farmi libero del tutto ciò che non è tanto semplice ho ricevuto appena ora il numero iii del commerce con la sua lettera dall italia è proprio leggendo quelle pagine che mi venne il desiderio di scriverle qui troverà certamente cose degne della sua penna ma non recanati anzi anche recanati ma vuota di leopardi cioè guardi com è ricco il mio paese i genitori di leopardi ci sono in quantità ma pare riproducano sempre sé stessi con grande pedanteria a quando dunque suo devotissimo ettore schmitz,Ettore Schmitz,negative,sadness
20,1925,villa veneziani trieste novembre esimio signore ed amico mi permette di dire cosi io sono tanto più vecchio di lei e dovrei precederla se come letterato non fossi tanto giovine lei però mi precedette con la bontà dimostratami e con la sua ultima lettera che mi fa un po vergognare la mia impazienza è veramente infantile e finisce in una bella seccatura per lei quale lei non meritava vorrei scusarmi io non sono ansioso di reclame o di gloria ebbi per opera vostra già più di quanto potevo sognare se poi volessi della reclame avrei potuto far mussare in italia l intervista del crémieux con dora salvi pubblicata da un giornale poco letto contro ogni buona educazione potrei anche far vedere le sue lettere e basterebbero ampiamente ma non è questo ch io attendo io sono ora molto curioso di me stesso e vorrei saperne qualche cosa prima di morire guardi io le invio qui acclusa la mia novella ma non ho la più lontana idea se contenga di quelle cose che di me la possono interessare molte cose io scrissi che poi distrussi sentendovi il vuoto io stesso faccia lei della novella quello che crede altro di pronto io non ho passai questi tre anni dalla pubblicazione del romanzo senza far nulla incuorato dopo la mia prima visita a parigi cominciai a londra una lunghissima novella corto viaggio sentimentale ci penso continuamente ma poi ritornato qui non la toccai più sempre esitante se non dovessi di nuovo rassegnarmi all aritmia del mio violino io sono fatto così e forse a quest ora sono in parte disfatto e facilmente perdo l equilibrio eccomi di nuovo messo in piedi per opera sua e di quella gentilissima signora eh è la signora crémieux adesso son buono per varii mesi e griderò aiuto quando mi sentirò crollare di nuovo non so consolarmi di aver perduto la sua visita ad ogni modo le mie montagne restano al loro posto e le ritroveremo è vero che verrà a vederle io avevo scritturato un amico che conosce la storia del mio paese per accompagnarci quando lei fosse stato qui qui troverebbe molti ricordi dell epoca napoleonica si figuri che quando a trieste prendiamo un liquore lo designiamo con parola derivata dal francese lo diciamo petès bastò un secolo per cancellare ogni traccia della sua origine ed io a dire il vero fino a poco tempo fa la credevo slava invece appresi che con napoleone arrivarono a trieste le prime pàtisseries che il barbaro paese prima non conosceva vi si vendeva anche il liquore ed è l unico caso io credo in cui la designazione di un prodotto derivò dal nome della bottega ove lo si vendeva tutto questo solo per farle venire il desiderio di veder trieste mi compatisca come ha fatto sinora adesso molti mesi di pace le sono garantiti sia discreto non se li prenda tutti mi creda suo devotissimo e riconoscente ettore schmitz nella novella vi sono due correzioni non molto intelligibili per sicurezza le ho ripetute sul dorso del foglio,Ettore Schmitz,negative,sadness
21,1926,church lane londra s e pregiatissimo signor larbaud sono stato a parigi per qualche giorno proprio quando vi si pubblicava il navire d argent non so dirle come le sia grato di aver dedicato tanto sapere e tanto affetto alla mia opera leggo e rileggo la sua traduzione e mi sento elevato da ogni parola della stessa come suona bene il mio pensiero nella sua bella lingua e nelle sue mani ora ho avuto più di quanto ho mai sperato più di qualunque lode chi ha dedicato tanto lavoro alla mia prosa ha rubato il tempo al suo io tanto importante vedo che la rivoluzione è finita se a lei fosse capitato qualche cosa di male lo si avrebbe saputo subito ciò mi conferisce tranquillità ella ora sarà un neolatino come non se ne vide mai perché lei non sa vivere da straniero fra stranieri accompagnato da lei io intanto percorro l anglo sassonia con immenso diletto sto leggendo attui va toute ehair si ricordi di me come io mai la dimenticherò suo devotissimo ettore schmitz,Ettore Schmitz,positive,joy
22,1926,villa veneziani trieste aprile pregiatissimo signor larbaud ricevetti a suo tempo la sua cartolina da lisbona ed ora la traduzione di dubliners sulla quale v è con tanta gentilezza il suo nome mille grazie questa volta il suo nome accompagna un altro dono finalmente dubliners escono da quella benedetta lingua inglese a quando ulisse un inglese che non ama il joyce al quale imprudentemente raccontai che il joyce era stato mio insegnante esclamò con la gioia di scoprirgli un lato debole a very poor english teacher indeed adesso tenterò d avvisare i miei concittadini che dubliners sono accessibili a molti accanto al nome suo sul libro inviatomi v è quello dell editore sarebbe un sogno che accetterebbe di ammettermi fra i colossi della libreria plon ne scrissi subito al crémieux che ha una copia della coscienza con qualche taglio per la traduzione mi si era offerto un traduttore che però non sa bene il francese ma io non voglio una traduzione tanto esatta umberto saba poeta molto noto in italia mio concittadino e che m interessa molto ad onta che abbia quel benedetto vizio di lasciare in bianco una parte creila carta su cui scrive le invierà dei suoi libri non è solo per alimentare quel suo vizio impunito che le faccio inviare questi libri il saba a me pare un uomo interessante e un magnifico poeta che trae dalle cose delle parole che sono veramente sue ma non spetta a me di dare dei giudizii e quando verrà a trieste io nel maggio o giugno dovrò correre di nuovo a londra e passando forse mi sarà concesso di venir a stringerle la mano sarà cosa ben aggradevole non ho più nulla da domandarle io sono molto più sereno perché ho già avuto tutto quello cui ambivo ricorda che volevo provarle che avevo ragione di scrivere male avevo paura che scoprendomi tanto scalcinato m avreste voltato le spalle non l avete fatto ed è una cosa indimenticabile ma in italia ci sono delle persone incantate nel piacere di trovare dei romanzi scritti male parola d onore posso essere creduto perché non ho più alcuna ragione di mentire non lo stampano ma dicono di avere un enorme paura delle correzioni formali che imprendo su senilità che ha da essere pubblicata dai treves e m ammoniscono guai se diventa un testo di lingua suo devotissimo ettore schmitz,Ettore Schmitz,negative,fear
